tid,attribute,correct_val
0,src,aa
0,flight,AA-3859-IAH-ORD
0,sched_dep_time,7:10 a.m.
0,act_dep_time,7:16 a.m.
0,sched_arr_time,9:40 a.m.
0,act_arr_time,9:32 a.m.
1,src,aa
1,flight,AA-1733-ORD-PHX
1,sched_dep_time,7:45 p.m.
1,act_dep_time,7:58 p.m.
1,sched_arr_time,10:30 p.m.
1,act_arr_time,10:30 p.m.
2,src,aa
2,flight,AA-1640-MIA-MCO
2,sched_dep_time,6:30 p.m.
2,act_dep_time,6:30 p.m.
2,sched_arr_time,7:25 p.m.
2,act_arr_time,7:25 p.m.
3,src,aa
3,flight,AA-518-MIA-JFK
3,sched_dep_time,6:40 a.m.
3,act_dep_time,6:54 a.m.
3,sched_arr_time,9:25 a.m.
3,act_arr_time,9:28 a.m.
4,src,aa
4,flight,AA-3756-ORD-SLC
4,sched_dep_time,12:15 p.m.
4,act_dep_time,12:41 p.m.
4,sched_arr_time,2:45 p.m.
4,act_arr_time,2:50 p.m.
5,src,aa
5,flight,AA-204-LAX-MCO
5,sched_dep_time,11:25 p.m.
5,act_dep_time,11:25 p.m.
5,sched_arr_time,6:55 a.m.
5,act_arr_time,6:55 a.m.
6,src,aa
6,flight,AA-3468-CVG-MIA
6,sched_dep_time,7:00 a.m.
6,act_dep_time,7:25 a.m.
6,sched_arr_time,9:55 a.m.
6,act_arr_time,9:45 a.m.
7,src,aa
7,flight,AA-484-DFW-MIA
7,sched_dep_time,4:15 p.m.
7,act_dep_time,4:29 p.m.
7,sched_arr_time,7:55 p.m.
7,act_arr_time,7:39 p.m.
8,src,aa
8,flight,AA-446-DFW-PHL
8,sched_dep_time,11:50 a.m.
8,act_dep_time,12:12 p.m.
8,sched_arr_time,3:50 p.m.
8,act_arr_time,4:09 p.m.
9,src,aa
9,flight,AA-466-IAH-MIA
9,sched_dep_time,6:00 a.m.
9,act_dep_time,6:08 a.m.
9,sched_arr_time,9:20 a.m.
9,act_arr_time,9:05 a.m.
10,src,aa
10,flight,AA-1886-BOS-MIA
10,sched_dep_time,10:45 a.m.
10,act_dep_time,10:55 a.m.
10,sched_arr_time,2:20 p.m.
10,act_arr_time,1:40 p.m.
11,src,aa
11,flight,AA-2957-DFW-CVG
11,sched_dep_time,7:55 a.m.
11,act_dep_time,8:04 a.m.
11,sched_arr_time,11:05 a.m.
11,act_arr_time,11:01 a.m.
12,src,aa
12,flight,AA-1664-MIA-ATL
